LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-80.4828,25.4719,1570162.872,-1208508.393,7.456666644,7.47592169,-0.444225104,0.685579928,-0.095684058,0.518717884,-0.552629308,0.101041119,-0.198378789,0.947808539,0.455224203,-0.179934073,-0.768512282,-0.406212728,0.360863994
-80.3264,25.9419,1577381.767,-1155058.301,7.436666687,7.535405415,-0.405521148,0.722844236,-0.029815144,0.714854976,-0.560663716,0.130726916,-0.33121687,1.012189439,0.417812108,-0.149964461,-0.704781113,-0.452000727,0.345038853
-80.2569,26.0539,1582284.589,-1141774.396,7.023333311,6.969437805,-0.386874898,0.733300421,-0.014533006,0.761885742,-0.552586779,0.136855993,-0.562643426,1.017785495,0.409064045,-0.142785739,-0.684482744,-0.461810962,0.340860184
-98.1521,26.2886,-216690.2815,-1244900.307,12.29500015,12.35239232,-0.158176398,0.470772119,1.015592353,0.171533872,0.376855402,0.302998395,2.403529813,-2.83947053,1.454068841,0.504386981,2.551816959,-0.821413459,0.089360633
-80.0964,26.2911,1593925.786,-1113397.115,8.542857034,8.525546206,-0.352067916,0.732311552,0.016860336,0.849139679,-0.540276494,0.149187342,0.089815957,1.025046836,0.38965525,-0.126896335,-0.636909841,-0.482848705,0.33121986
-80.0928,26.4569,1591247.059,-1095367.749,6.873333311,6.94061024,-0.333598782,0.712084671,0.049761111,0.915570882,-0.541106115,0.159609155,-0.482960581,1.046349869,0.369100482,-0.109871574,-0.603465165,-0.499483988,0.320864124
-82.2304,27.9657,1355029.1,-964273.1811,7.970000021,7.931909046,-0.164882891,0.064898185,0.578612774,1.075771002,-0.416544043,0.191060251,-0.145153815,0.85256656,-0.154129598,0.260318435,0.261497882,-0.565114922,0.022556604
-81.3106,28.7461,1431565.135,-865494.9043,6.724999905,6.723266353,-0.079563369,-0.074498752,0.558300745,1.296052278,-0.42784646,0.177351775,-0.255685586,0.726759095,-0.207393663,0.263501977,0.399426663,-0.570702293,-0.024056895
-98.6202,29.5151,-253992.7301,-887690.2131,9.87500006,9.897917552,-0.394735878,-0.210215553,4.632029582,0.555101688,0.616227754,0.476985448,1.079733935,-1.908632843,0.288391603,0.154613636,1.169332129,0.684783064,0.138668698
-90.7797,29.6793,504847.1662,-859117.7172,8.564516167,8.604527923,0.30006558,1.344529903,-0.594500315,-1.040721335,-0.814481064,0.165442344,0.509978026,1.542568433,0.749269591,-0.388570579,-0.12534921,-0.668298015,-0.076946053
-82.3878,29.7061,1312153.866,-775880.2069,9.037499905,9.046546753,-0.138949764,-0.191079275,0.496085676,0.419495971,-0.189191044,-0.003843633,0.180894194,0.479152072,-0.427087448,0.271419,0.832282792,-0.57480862,-0.186712515
-95.2576,29.7337,71784.62077,-866673.9551,11.66593403,11.33318603,0.029749712,-0.082947153,0.467637904,0.411577431,0.254383741,-0.052086387,1.51515882,1.042120333,0.693593961,-0.183625995,0.249899026,-0.609770197,-0.008489536
-95.3877,29.8145,59147.35876,-857801.8974,10.19310343,9.724623515,0.01203406,-0.135753321,0.613359271,0.471066081,0.321078728,-0.023025745,1.654416487,0.950343068,0.670197933,-0.17031614,0.275169759,-0.559761212,-0.016739629
-90.1098,29.9003,568035.5537,-830864.9666,9.048275816,9.544261723,0.392361057,1.412662601,-0.67170927,-0.94286912,-0.782722094,0.176596853,0.693562532,1.254759558,0.702480681,-0.343433384,-0.092806101,-0.513512041,-0.077672732
-89.9762,29.9432,580601.0153,-825307.0835,9.431250036,9.075465569,0.416956619,1.417333109,-0.703843813,-0.903976335,-0.766678872,0.167338273,0.616590524,1.204747534,0.688901636,-0.333015303,-0.08733485,-0.484013846,-0.077257433
-90.1182,29.996,566569.7192,-820316.7368,9.296774187,9.489022687,0.390955286,1.406920527,-0.652529694,-0.932877464,-0.779597164,0.195837227,0.868374836,1.238837252,0.696966775,-0.333591998,-0.067368277,-0.518552957,-0.074269324
-90.2728,30.0412,551393.8961,-816219.3199,8.93750003,8.783991625,0.372699915,1.394308447,-0.618227649,-0.94625722,-0.779779843,0.215968632,0.666161405,1.280824377,0.704938563,-0.335286096,-0.051136332,-0.554796555,-0.071228398
-81.634,30.1358,1377097.431,-718053.9665,7.258620649,7.350568736,-0.05750077,-0.33374675,0.374033404,0.737468881,-0.238461025,-0.055041306,-0.314109301,0.475374592,-0.352619673,0.212162588,0.8227448,-0.63179962,-0.190349097
-91.0626,30.2191,474403.2351,-800765.2927,9.939393896,9.909538349,0.231678251,1.241451675,-0.452895416,-1.022694957,-0.71724502,0.287506626,1.030741695,1.540421085,0.726553625,-0.347217099,-0.029212344,-0.71429974,-0.056235949
-92.0429,30.2261,380241.3098,-804396.9641,9.183870977,9.174711597,0.090537286,0.936224766,-0.459233246,-0.959451353,-0.52216955,0.219378308,1.074342035,1.917354004,0.730274149,-0.376606279,-0.133088391,-0.844682394,-0.049681258
-93.58,30.2278,232577.2501,-809164.3959,8.299999985,8.314791848,0.026998726,0.327533545,-0.550068211,-0.352691078,-0.013871553,0.008655928,0.562052809,2.052338558,0.698108773,-0.362529583,-0.19700456,-0.853348009,-0.074194966
-81.5478,30.3547,1381614.859,-692776.8153,7.693103363,7.645764013,-0.04259867,-0.366893724,0.304798727,0.726633793,-0.221184113,-0.096349354,-0.088113319,0.48040517,-0.330186041,0.178678466,0.835971398,-0.662556963,-0.202614595
-84.3464,30.4397,1114421.894,-720179.0252,7.723333367,7.825088858,-0.286792017,0.215979915,0.080549224,-1.149461599,-0.043256789,-0.248041379,0.309843471,0.607658269,-0.541207825,0.14842027,0.883934065,-0.53968273,-0.237267161
-91.1792,30.462,461841.8155,-774400.002,12.05000001,10.84647302,0.193119641,1.159745419,-0.375669472,-0.980373153,-0.62913172,0.348304088,1.53339105,1.515822837,0.713330602,-0.324657413,0.016244807,-0.721741089,-0.047751393
-87.8803,30.4975,776933.3989,-748961.8803,8.674193575,8.731840479,0.420456166,1.078138033,-0.915011445,-0.671233835,-0.552916231,-0.128236644,0.567176215,0.743796279,0.196345522,-0.120790752,0.174838366,-0.210885638,-0.077029946
-91.2136,30.5006,458333.1505,-770284.0109,10.57472527,11.31953937,0.174913457,1.132270217,-0.348174332,-0.97938147,-0.61280753,0.362367206,1.531198282,1.51692609,0.711345324,-0.321512564,0.021867165,-0.724480145,-0.046427423
-90.3772,30.5033,538320.3729,-765598.6368,9.375862105,9.102393488,0.335194247,1.300358971,-0.463957605,-0.86453471,-0.719756536,0.332458861,0.811268727,1.204623363,0.679130546,-0.284670795,0.079140926,-0.583659665,-0.052383977
-87.2036,30.5254,841219.0602,-740113.3768,10.12000008,10.25026737,0.281409954,0.908064353,-0.836892771,-0.837030542,-0.459411624,-0.23326059,0.757684724,0.732785889,-0.061375987,-0.067074282,0.315069663,-0.210759525,-0.095783479
-88.0878,30.7702,754605.1906,-720438.0827,9.546666654,9.58068741,0.469582819,1.070795534,-0.844078187,-0.505328165,-0.630468765,-0.064585435,0.808509227,0.722874968,0.237378553,-0.108092284,0.23851108,-0.253547572,-0.065341926
