Y,ANN_YHat,GWRFG_Yhat,GWRFB_YHat,GWRAG_YHat,GWRAB_YHat,MGWR_Yhat,AGWNN_YHat
6.465517204,7.410914108,6.09784355,8.86289332,5.946380312,5.994394226,5.733303002,6.323876855
6.446666654,7.981297334,6.199073023,9.367234975,6.363347977,6.344981431,6.925266015,6.275137741
6.003225796,7.796688899,5.898749096,9.121947716,6.003518223,5.95835995,5.967819035,6.084034961
13.50714288,7.303384777,13.47841096,9.639138451,10.62214347,10.70247686,12.95840586,13.34030744
6.462962981,6.975824016,6.450354857,8.446629961,6.313133631,6.29796556,5.879702482,6.507261047
5.64545458,7.575746192,6.218747088,8.90540116,6.318975992,6.287256779,6.060581133,5.725874352
5.837037051,6.708481061,5.815830887,7.922273867,5.698696907,5.646849968,5.545544775,5.860869474
7.103448292,7.668271269,6.597029523,8.059038042,6.665997252,6.643596866,6.199926518,7.319951282
6.555555609,7.276974136,6.255677123,7.813945083,6.29039893,6.278704916,6.679167899,6.748209781
5.396551724,7.502178371,5.787414428,8.242500234,5.510953161,5.647888804,5.350153213,5.460400955
5.671428476,8.142964849,7.12237766,8.380455384,7.379737172,7.325549046,6.674823133,5.687891883
8.433333238,7.34504496,8.371715943,8.348832958,8.750993722,8.987937835,8.242257005,8.33569219
9.900000095,7.864027894,10.05310621,8.452482104,8.776543736,8.79673538,9.762937517,10.02823711
6.890322554,7.458473629,7.044907026,7.541685453,7.125991293,7.097207278,6.517016823,7.071641583
7.071428571,8.120048281,7.224533535,7.970311457,7.101387283,7.223561749,6.685470342,7.260996563
10.9321839,7.862167201,9.635425753,8.357803178,8.84986709,8.718838645,10.30151301,11.02294594
11.02903231,8.168361103,10.03774453,8.517294511,8.653104862,8.671712279,10.69238051,11.22716393
7.236666679,8.107360362,7.682612215,8.050000922,7.820138511,7.766109119,6.996744141,7.564195396
7.553333298,7.94041234,7.358955216,8.013509815,7.53990861,7.431543058,7.455106882,7.652853826
7.603225839,8.109925449,7.586371615,8.14802228,7.870017642,7.716980105,7.961600246,7.768153419
6.966666651,7.885343721,7.878209975,8.039663212,8.193963987,8.079667946,8.21549408,7.287238662
6.696774237,7.376655255,7.248421061,7.495694483,7.317231922,7.267936485,7.17010041,6.696893349
7.800000006,8.038645894,7.805117092,7.941890009,7.979971367,7.937705523,7.187557317,7.563413287
7.622580644,7.415777785,7.463783713,7.682508422,7.358637113,7.447485726,7.592965147,7.753206848
6.989655117,7.26313714,7.066764891,7.551682066,6.900394054,6.986605386,7.57953812,7.333991025
6.923333327,7.499269433,7.253090869,7.654105779,7.265051712,7.297459013,6.939100314,7.136664503
9.161290292,8.064325618,7.90385732,7.839229872,7.759083976,7.793577756,8.860130915,8.809722222
8.233695613,8.519858635,8.513931446,8.322694256,8.741193907,8.671171406,8.122068545,8.587244578
6.853846156,7.390381378,6.793669547,7.321104362,6.751280886,6.757984589,6.510438474,6.973617083
8.632258072,8.519858635,8.517233696,8.324922347,8.744165051,8.67158912,8.132512917,8.581105856
6.962068919,7.920998158,7.287516377,7.704941103,7.412782856,7.325546342,6.694198276,7.548461829
6.512903221,7.531512784,6.736942501,7.42067425,6.706035527,6.673655337,7.630899716,6.736651345
7.699999982,7.969470928,7.056661823,7.594261274,7.078048511,7.03995152,7.09349396,7.765433425
7.832000036,8.064743178,8.189619862,7.875662419,8.066863787,8.151268124,8.415520205,8.840518407
7.970370346,7.598917389,7.772515844,7.470103369,7.868270464,7.778813075,8.222953165,8.02106737
7.776666641,7.893995,8.143769819,7.797615677,8.19374763,8.188213495,7.370062711,8.151304596
8.446666678,7.55249024,8.859923782,7.424904548,8.886345913,8.849467684,9.127894989,9.130253703
5.086666667,5.000195175,5.424235503,5.492644361,5.327541411,5.214931434,5.465764963,4.962120376
7.319354865,7.743550136,8.59632155,7.541225387,8.55563742,8.58907468,8.069675109,7.316662127
11.40731705,8.046174806,9.514076862,7.914907736,9.564525442,9.539546338,9.394379705,11.0306908
7.986206869,5.602162217,7.020298366,6.277852962,6.098031415,6.422614558,6.362534185,7.058547325
6.092857054,5.602162217,7.019220336,6.276595177,6.186639665,6.419468612,6.367007448,7.19006799
7.906741582,8.289662557,7.84612354,8.152996216,7.641952344,7.831201186,7.78221221,7.688744617
7.50689652,7.917360368,7.70025302,7.686622335,7.588844589,7.641582169,7.281792965,7.453030011
8.057142794,8.172302685,8.418460287,7.840396713,8.689372711,8.656345143,8.894078646,8.864089371
9.519354836,7.877838387,9.124075676,7.682392284,9.295363702,9.211002395,9.353386505,9.559812333
9.916666762,7.761059093,8.726556506,7.534437412,9.025275957,8.833538936,9.040715234,9.595470467
9.653124996,7.96107251,8.23263486,7.807518242,8.18007241,8.183546279,8.759076026,9.676630926
9.783870912,7.877838387,9.124681529,7.685387848,9.323820994,9.219636104,9.349191796,10.04619605
6.512903229,7.903203217,7.942749577,7.78449233,7.940393016,7.939659449,7.834054231,7.226000436
9.851724148,7.629764282,8.919830409,7.457464325,9.124926858,9.03302791,8.815903211,9.387425645
8.283333333,7.489041569,8.150922732,7.239324911,8.317425407,8.249434528,8.174183982,8.254893495
7.1433333,7.963928656,8.131747106,7.136893125,8.349475912,8.146556153,7.687089559,6.874380269
7.375000094,7.317257559,7.485444343,7.449179117,7.751292228,7.689260658,7.130692105,7.785796261
9.154545437,7.587943424,8.089971296,7.609183297,8.071021656,8.017643811,7.95053075,9.554748933
7.888372138,5.535318823,6.740870646,6.994339085,6.686110738,6.468977633,5.423732331,7.85782836
7.286206936,7.422191592,7.565529615,7.516384501,7.611871301,7.645918264,7.565167419,7.333954598
9.349999968,7.720624109,8.198556861,7.425219357,8.4427454,8.376270653,8.139873026,8.313323632
6.366304328,7.135477027,6.913162086,6.852070398,7.063992501,6.795294953,7.43412809,6.297683832
7.308888872,7.624411351,7.019455223,7.474067268,6.94826732,6.95004931,7.53728837,7.303879729
5.468965498,5.227898684,6.169496578,6.051044008,6.418421021,6.232306141,6.530066957,5.171929485
7.816129069,7.868968516,8.409539945,7.557391656,8.532155348,8.568483024,8.459043777,8.762642867
7.190476054,7.613863816,7.560798137,7.505292658,7.716198056,7.813621367,7.394765243,7.320460268
7.65555554,7.622620383,7.745706164,7.64089584,7.810142553,7.880331342,7.899594659,8.118985582
6.240000002,7.58545046,7.510274652,6.761355813,7.797153455,7.530155417,8.050302396,5.879165603
6.206451639,5.07547446,6.081155027,6.306523237,5.832816554,5.748513413,5.887054905,6.286500792
9.987096717,5.295917566,6.09653789,6.451820846,5.922243424,5.914811323,6.399791082,9.458435633
8.256250039,7.662926121,7.631888504,7.276599306,7.752851425,7.720322847,7.845902464,7.41934601
6.933333365,5.435721808,5.709160159,6.379334785,5.917815535,5.818881463,7.356160274,7.078014352
7.09340658,7.690185987,7.322948092,7.394737787,7.375825006,7.373489544,7.305960979,7.106028694
7.036666679,7.428291872,7.243875945,7.389038671,7.154020793,7.265194481,7.141820212,7.115801823
7.431034433,7.33743564,7.968918347,7.191784829,8.199880209,8.141165734,8.086465413,7.766825267
7.819354834,7.326851192,7.997272637,7.31150718,8.153340975,7.927724998,7.178673476,8.062979204
7.507142859,7.139510389,7.0663685,6.840258562,7.177180222,7.138790932,7.392449016,8.061805894
8.129999963,7.557056284,8.142642973,7.343118673,8.249435055,8.282213902,8.266506975,8.166961573
3.931034516,5.025674965,5.960025171,6.140667179,5.684685255,5.607149078,5.75549267,3.575163671
5.386666711,5.707575003,5.697018267,7.08020623,5.85783841,5.977244827,6.413041442,5.451094223
8.860000014,7.870902607,8.475431839,7.549488367,8.753248787,8.687684142,8.261194891,8.707087383
5.422580665,5.847378748,6.168010917,7.473738632,6.265113458,6.320747354,6.328297462,4.985006495
8.453333362,7.798404291,8.309054306,7.508617736,8.502859163,8.469970939,8.367810958,9.024831703
7.626666705,7.722872698,7.843705625,7.309385286,8.137238105,8.067127626,7.638688678,8.401250722
