Y,ANN_YHat,GWRFG_YHat,GWRFB_YHat,GWRAG_YHat,GWRAB_YHat,MGWR_YHat,AGWNN_YHat
7.456666644,9.172567079,7.60469,9.638023017,8.105464104,7.946832889,7.151275295,7.47592169
7.436666687,8.384791491,7.365102647,10.01754976,7.740885043,7.431841287,8.121217332,7.535405415
7.023333311,8.80523389,6.94770068,9.628058513,8.252578746,7.823709959,7.594881191,6.969437805
12.29500015,9.450198503,12.29750394,9.632742519,10.98544135,11.31977876,12.21304968,12.35239232
8.542857034,8.820697495,8.124479329,9.498617091,7.396542073,7.397225232,7.28136453,8.525546206
6.873333311,8.316996509,7.091417013,8.509156918,7.838348414,7.464493734,6.897674489,6.94061024
7.970000021,9.101961667,7.7006868,9.59398919,7.679498466,7.640088265,7.514752591,7.931909046
6.724999905,9.250630291,7.501331207,10.20377097,7.75835853,7.727683827,7.914447135,6.723266353
9.87500006,9.35687509,9.9098998,9.498358041,9.566197133,9.538046313,9.849144454,9.897917552
8.564516167,8.808047647,8.882285505,9.318979192,9.228674866,9.23563228,8.952833019,8.604527923
9.037499905,9.266182613,8.288748442,9.485070969,8.05274909,8.112379124,7.730434704,9.046546753
11.66593403,9.072149703,10.69523406,10.36597078,10.81654959,10.84105895,10.59755303,11.33318603
10.19310343,8.621351115,10.94639981,10.81323643,10.93018759,11.01770508,10.8888134,9.724623515
9.048275816,8.822047976,9.213399338,9.675574401,9.378442581,9.297306068,9.3903798,9.544261723
9.431250036,8.586610916,9.074572282,9.525387429,9.458986461,9.252711493,9.476399208,9.075465569
9.296774187,8.61219691,9.528691587,9.859010897,9.58032677,9.476524471,9.793157512,9.489022687
8.93750003,8.735549443,9.163978543,9.504548623,9.506889317,9.403288052,9.747644972,8.783991625
7.258620649,8.718728711,7.395957934,9.129443843,7.537772771,7.466430949,7.690389744,7.350568736
9.939393896,9.302943804,9.821537179,9.727375012,9.834792213,9.842416309,9.542313572,9.909538349
9.183870977,9.128595307,9.900174946,9.801864183,9.924462213,9.911095577,9.650818282,9.174711597
8.299999985,8.865509289,8.976207816,9.364207118,9.500584115,9.409869853,9.062981036,8.314791848
7.693103363,8.781631304,7.803565293,9.013088582,7.998246113,7.874635373,7.554398224,7.645764013
7.723333367,9.084186694,8.521321932,9.718383141,8.586089883,8.554325718,8.47359356,7.825088858
12.05000001,9.270395158,10.72811779,10.18019667,10.29151692,10.40349463,9.914286188,10.84647302
8.674193575,8.364158874,8.985448414,8.997825939,8.944261153,9.036851456,8.743491652,8.731840479
10.57472527,9.270395158,10.72416291,10.18169861,10.29353925,10.40768484,9.923585173,11.31953937
9.375862105,9.15714698,9.425694755,9.519883269,9.417956287,9.473355074,9.337122141,9.102393488
10.12000008,8.872999909,9.32905041,9.69468691,9.150333536,9.271392932,9.621867443,10.25026737
9.546666654,9.081721683,9.420717709,9.667966293,9.25056292,9.306562655,9.49853425,9.58068741
8.150000008,9.466581084,8.047277108,9.916973577,8.167737262,8.090762014,8.362913699,8.087274503
8.096666686,8.791996563,8.10578813,8.764702084,8.18237597,8.164488979,8.163229551,8.041228547
9.183333222,9.122260731,9.694661036,9.286448659,9.625602457,9.655336912,9.494190362,9.356012676
8.627586151,9.571822076,8.918304789,9.613947635,9.061547088,8.971628081,9.045694681,8.76793674
5.793749973,9.878316001,8.138732988,8.198040827,10.19546895,10.33923893,6.732028405,5.949833308
7.66451618,9.626224967,8.461909745,9.647429514,8.525390258,8.504913542,8.298512399,8.018617234
8.674193562,9.372025332,8.885337631,9.638471075,8.956309158,8.924867803,8.939565086,8.535997813
8.796551762,7.923924892,7.259462491,8.677292504,7.372077998,6.940004739,7.149943285,7.67915942
5.762500048,7.923924892,7.259345222,8.677144354,7.369947973,6.937106423,7.156001013,6.942842665
8.296153848,9.399658462,8.226990529,9.757273577,8.292129958,8.218390709,8.36764977,8.20021914
9.409677413,9.186957344,9.84116011,9.561706982,9.76820228,9.817990983,9.702810156,9.54261983
9.489655182,9.239428946,9.555817464,9.366879568,9.485185213,9.550109056,9.854540709,9.509433821
