ID,pr_ann,pr_gwr_fg,pr_gwr_fb,pr_gwr_ag,pr_gwr_ab,pr_agwnn
1,0.722962805,0.975003264,0.778089618,0.971681407,0.973844337,0.987779683
2,0.776102409,0.978957116,0.819659856,0.976043229,0.978414907,0.989426933
3,0.785905822,0.976360563,0.831708315,0.971162534,0.973333916,0.988464667
4,0.763593281,0.977358777,0.812230713,0.973918407,0.976746561,0.987864192
5,0.770636898,0.977600143,0.817580352,0.973952643,0.975259198,0.987525121
6,0.714246834,0.973329247,0.766063304,0.968536854,0.971592507,0.9854886
7,0.725294043,0.972681732,0.783242134,0.970377052,0.97131761,0.986466038
8,0.787580172,0.977913042,0.838721639,0.974561688,0.976917481,0.985651647
9,0.751554957,0.975318641,0.801587087,0.971952522,0.974326259,0.985805138
10,0.783587582,0.977408471,0.823802503,0.973080195,0.975473984,0.987871552
11,0.783803677,0.97641501,0.8301523,0.970789269,0.974407738,0.987834068
12,0.753786971,0.979590128,0.805685288,0.974846744,0.977615769,0.986531612
13,0.737393422,0.975749785,0.789619241,0.968007493,0.973045279,0.987517748
14,0.76013473,0.977001545,0.800762894,0.972791409,0.976371753,0.988081517
15,0.770592559,0.977406284,0.819755055,0.973801609,0.975704447,0.986722868
16,0.796248009,0.977615664,0.830308704,0.973474217,0.976540183,0.988933636
17,0.755632099,0.975075188,0.803546501,0.970095572,0.972740462,0.985001744
18,0.764167877,0.976198849,0.810788998,0.970005254,0.974165994,0.983694893
19,0.754620427,0.975387013,0.802689224,0.972162067,0.974930819,0.987625506
20,0.777361691,0.978252287,0.820192114,0.973740491,0.976243603,0.985580258
21,0.773689832,0.978036538,0.818368784,0.976072327,0.976863474,0.989020551
22,0.817674256,0.980772747,0.842791202,0.977202624,0.979509328,0.988477014
23,0.811664384,0.979788967,0.850017554,0.975808869,0.977832355,0.988592894
24,0.747823079,0.976080471,0.801185951,0.971205528,0.974602669,0.987350715
25,0.772585737,0.976577257,0.818813097,0.973272169,0.97497754,0.985325593
26,0.79178699,0.980421934,0.835244086,0.976502298,0.9787579,0.98804841
27,0.800591002,0.979740776,0.840392353,0.976012471,0.978484846,0.987289986
28,0.722805991,0.975441324,0.774225415,0.970918453,0.973396019,0.986443815
29,0.776399791,0.979927146,0.83044324,0.975636295,0.978480885,0.987005814
30,0.763792749,0.978984978,0.816561043,0.975029751,0.977535795,0.987956264
31,0.777266792,0.98052689,0.828631662,0.977492556,0.979143988,0.991143225
32,0.786071529,0.976615844,0.831666927,0.972723028,0.974411689,0.986304151
33,0.79600202,0.981407488,0.841438374,0.979319117,0.98071806,0.989161967
34,0.80205072,0.982360521,0.8447474,0.977527624,0.98069218,0.989796954
35,0.764798591,0.975073738,0.812818601,0.967588792,0.971605882,0.986282679
36,0.788634841,0.979667602,0.842620897,0.975365287,0.977683314,0.988638707
37,0.756672824,0.979184799,0.813209059,0.974792322,0.977764434,0.987283865
38,0.766895348,0.977924723,0.814935387,0.973195669,0.976219798,0.98676474
39,0.739201348,0.976980114,0.798802183,0.973119273,0.974834291,0.986861855
40,0.789107108,0.979800914,0.830334254,0.974566678,0.977547488,0.987543357
41,0.775922675,0.980132473,0.820272818,0.976814946,0.97782391,0.988206468
42,0.802096799,0.979026543,0.845733533,0.975318303,0.977880318,0.988111688
43,0.73436182,0.974645275,0.777889817,0.970210715,0.972919921,0.985981829
44,0.784259042,0.978887402,0.831186952,0.976435285,0.978106306,0.987538328
45,0.772272824,0.979504762,0.815811377,0.973502933,0.976496155,0.986686341
46,0.760874098,0.978257495,0.81397679,0.974387215,0.976795951,0.987404151
47,0.782502109,0.979049397,0.828089185,0.97495502,0.97790206,0.989093887
48,0.739772939,0.974725142,0.787248055,0.968642757,0.972318086,0.987051761
49,0.74605431,0.976732221,0.802742985,0.971731368,0.974919127,0.988105462
50,0.777604395,0.975137964,0.826056824,0.969529857,0.972670785,0.988012549
51,0.746086082,0.975246801,0.800569271,0.97116485,0.9744556,0.986421529
52,0.792322887,0.979787596,0.831193813,0.973665631,0.977505991,0.987747367
53,0.722804684,0.974357166,0.778106719,0.970260792,0.972068079,0.984938452
54,0.791738649,0.978844887,0.828761823,0.974583139,0.977784302,0.987335789
55,0.724017953,0.972131391,0.784067834,0.967476033,0.969476052,0.985532439
56,0.783264736,0.978467219,0.8227933,0.976244863,0.9777519,0.988713353
57,0.753668068,0.975276343,0.801525041,0.971156971,0.973676646,0.985414473
58,0.735340717,0.975774609,0.789069428,0.970631983,0.974169464,0.984416089
59,0.757638702,0.97805898,0.805329862,0.971367258,0.975868008,0.986871263
60,0.765930205,0.978200091,0.809979399,0.972749222,0.975788548,0.985967454
61,0.778598302,0.977865312,0.823529484,0.973048662,0.976156708,0.986715039
62,0.758940314,0.975064641,0.804683917,0.97001608,0.973459039,0.988003924
63,0.734340486,0.971645271,0.787922407,0.967189279,0.968615193,0.986793802
64,0.79970845,0.97857378,0.843456889,0.972857329,0.975969515,0.988420658
65,0.796977987,0.98080686,0.827441651,0.978072908,0.980212758,0.98952168
66,0.754013643,0.975838676,0.801385977,0.969345259,0.973973418,0.986770552
67,0.750669248,0.978563454,0.798015598,0.97739139,0.979063556,0.987332687
