SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
120866001,-80.4828,25.4719,9.138538,6.886206939,0.14453933,0.53218335,21.07047,0.012632395,3.1380072,2,1570162.87238458,-1208508.39342854
120860033,-80.3264,25.9419,9.296615,6.333333333,0.17266305,0.28566667,21.335897,0.012476805,2.260292,3,1577381.76746218,-1155058.30133549
120110034,-80.2569,26.0539,9.458324,5.900000002,0.15347423,0.48659998,21.21218,0.012468873,2.3087928,3,1582284.5894323,-1141774.39616424
482151046,-98.1521,26.2886,9.450958,7.857692242,0.12450667,0.36436665,17.997818,0.008936707,3.201798,29.75,-216690.281502313,-1244900.30662057
120992005,-80.0928,26.4569,9.458324,6.153333386,0.13254206,0.43065,21.708555,0.012524783,4.614614,2.5,1591247.05867364,-1095367.7486143
120573002,-82.2304,27.9657,9.083408,7.322222197,0.10946939,0.6192667,17.95573,0.010360991,2.796727,19.75,1355029.09954868,-964273.181091206
121171002,-81.3106,28.7461,9.028309,4.528571435,0.11512903,0.53365,17.484278,0.010121753,1.7668644,21.5,1431565.13525057,-865494.904341357
480290032,-98.6202,29.5151,8.019743,6.41428566,0.07659406,0.40513334,13.067483,0.0066497,2.14112,281.75,-253992.730104759,-887690.21308649
221090001,-90.7797,29.6793,8.4739275,6.156666621,0.06293421,0.57235,14.433078,0.00887349,3.1287162,1,504847.166190232,-859117.717238122
482011035,-95.2576,29.7337,8.808373,9.910588312,0.08942045,0.37333333,14.522131,0.00797391,2.1976993,7.75,71784.6207669702,-866673.955119888
482011052,-95.3877,29.8145,8.808373,10.64999989,0.09469565,0.29426667,14.035289,0.00815998,1.710994,14.75,59147.358758926,-857801.897439955
220512001,-90.1098,29.9003,8.293649,6.51250007,0.09234667,0.49763334,14.337568,0.008735314,2.5457318,2.5,568035.553718558,-830864.966553494
220870007,-89.9762,29.9432,8.293649,5.449999928,0.10629629,0.40066665,14.100578,0.008798994,2.924606,0.25,580601.015346452,-825307.083535848
220710021,-90.1182,29.996,8.293649,6.737931042,0.097,0.37391666,14.401279,0.008757274,2.6258268,0,566569.719175462,-820316.736829374
220511001,-90.2728,30.0412,7.5420766,4.899999992,0.106973685,0.36468333,14.582687,0.008467501,3.2149942,0.75,551393.896051602,-816219.319866888
120310098,-81.634,30.1358,9.495002,4.860000086,0.06139785,0.49281666,15.908216,0.009063433,3.4890745,4,1377097.43094146,-718053.966518403
220470005,-91.0626,30.2191,7.8511415,6.556666676,0.09230435,0.50125,13.956238,0.008415783,2.2534504,3.75,474403.235076984,-800765.292705413
220550007,-92.0429,30.2261,8.317177,7.27999994,0.08179487,0.48603332,13.635615,0.008031331,3.001768,9.5,380241.309828715,-804396.964079699
220190009,-93.58,30.2278,8.680869,5.070000005,0.061394736,0.5374333,13.146204,0.007820239,2.5908692,5.5,232577.250063911,-809164.395916499
120310099,-81.5478,30.3547,9.495002,5.819230767,0.078655176,0.51825,15.848756,0.008931137,3.7747731,13.5,1381614.85892894,-692776.815325366
120730012,-84.3464,30.4397,9.238992,5.753333322,0.071686745,0.5377667,14.129801,0.008212735,1.8609139,21.25,1114421.89378944,-720179.025201617
220330009,-91.1792,30.462,8.396739,6.611627904,0.107117645,0.33218333,13.441607,0.008083006,2.5104752,2.5,461841.815530184,-774400.002030731
10030010,-87.8803,30.4975,10.172815,5.600000051,0.116960526,0.5779333,13.450412,0.008309727,3.5869765,14,776933.398931606,-748961.880312994
221210001,-91.2136,30.5006,8.396739,6.640740692,0.107117645,0.33218333,13.441607,0.008083006,2.5104752,2.5,458333.150486338,-770284.010920758
221050001,-90.3772,30.5033,7.5420766,5.57586203,0.05962319,0.5740333,12.979422,0.008101752,1.9416708,9.5,538320.372938337,-765598.636762198
10970003,-88.0878,30.7702,9.47759,6.283333341,0.06530555,0.53131664,12.957243,0.008036474,1.6285994,3.5,754605.190580307,-720438.082722136
131850003,-83.2933,30.8486,8.816542,6.180000011,0.07675862,0.5401,13.647118,0.007897926,2.2967074,45.75,1208495.45907447,-662240.755776683
131270006,-81.495,31.1698,9.456387,6.482758606,0.0713402,0.36366665,13.905382,0.008212928,2.7110798,1.75,1372848.42892274,-602460.165320707
220790002,-92.4107,31.1778,8.011473,5.210000018,0.081144735,0.54095,11.543342,0.00711603,2.2899644,20.5,340922.839995252,-700104.683275123
10690003,-85.3908,31.2248,8.3292055,6.81249997,0.078643836,0.48299998,12.672885,0.00737178,2.8685536,90,1005259.49459669,-645144.425109993
