LON,LAT,U,V,Y,AGWNN_YH,AGWNN_BH0,AGWNN_BH1,AGWNN_BH2,AGWNN_BH3,AGWNN_BH4,AGWNN_BH5,GWR_YH,GWR_BH0,GWR_BH1,GWR_BH2,GWR_BH3,GWR_BH4,GWR_BH5
-80.4828,25.4719,1570162.872,-1208508.393,6.465517204,6.323876855,-0.247232374,0.418319857,0.034335712,-0.320812972,0.289700665,-0.05745676,-0.238171124,0.942354626,0.099592425,-0.159366343,1.201220479,-1.278600955,0.067826383
-80.3264,25.9419,1577381.767,-1155058.301,6.446666654,6.275137741,-0.33480803,0.352091777,0.019470188,-0.299233016,0.299292207,-0.019662161,-0.179804658,1.002119167,0.096734034,-0.169882064,1.221330782,-1.312811935,0.069688186
-80.2569,26.0539,1582284.589,-1141774.396,6.003225796,6.084034961,-0.353481037,0.318005837,0.010679905,-0.294256279,0.295771064,-0.001520896,-0.352964171,1.011239797,0.096425876,-0.172361706,1.225903125,-1.31952268,0.070077964
-98.1521,26.2886,-216690.2815,-1244900.307,13.50714288,13.34030744,-0.001781399,-1.232791803,13.11977103,2.246685557,-1.356315956,-2.641031889,4.017285565,-2.659643316,0.485968633,-0.128613075,3.601979822,-0.570358598,-0.39581834
-80.0964,26.2911,1593925.786,-1113397.115,6.462962981,6.507261047,-0.387640376,0.265714191,-0.00833711,-0.27311187,0.289536666,0.03298841,-0.034921629,1.028081803,0.095883993,-0.177611548,1.235391899,-1.332942203,0.070807049
-80.1764,26.2942,1585925.816,-1114399.619,5.64545458,5.725874352,-0.399041775,0.276541644,-0.002364906,-0.266712887,0.294740068,0.024552094,-0.168461068,1.043477514,0.0957371,-0.177340842,1.232387169,-1.335262414,0.070864058
-80.0928,26.4569,1591247.059,-1095367.749,5.837037051,5.860869474,-0.422908617,0.252771805,-0.016127761,-0.2422233,0.291754909,0.048077655,-0.400772805,1.058806759,0.095380988,-0.180735883,1.237865142,-1.344847777,0.071255582
-82.2304,27.9657,1355029.1,-964273.1811,7.103448292,7.319951282,-1.05925602,0.833282973,0.236726264,0.881630893,0.346127228,-0.114899953,0.049647437,1.595158481,0.087837265,-0.205711645,1.181697747,-1.462922088,0.029205886
-82.7822,27.9863,1300770.595,-969731.7685,6.555555609,6.748209781,-1.066913029,0.956930721,0.350495487,1.028433113,0.326073977,-0.200739323,-0.147168102,1.712404172,0.082822479,-0.209635236,1.097432738,-1.430156329,0.011674754
-80.6286,28.0536,1509790.2,-930535.9673,5.396551724,5.460400955,-0.862896158,0.352644608,-0.092119296,0.455393429,0.284192377,0.153163181,-0.417157048,1.240344715,0.086907411,-0.205978139,1.371358391,-1.499185335,0.054435892
-81.3106,28.7461,1431565.135,-865494.9043,5.671428476,5.687891883,-1.076976915,0.680663834,-0.070988418,1.102841016,0.247199837,0.154363878,0.352550468,1.174248705,0.073833951,-0.227764296,1.595768427,-1.629919477,0.014997327
-94.8613,29.2545,110738.8248,-919406.5198,8.433333238,8.33569219,0.479583614,1.954913228,1.55843609,1.152087709,-1.048119785,-1.113018913,1.07288871,-0.534191867,0.388982672,-0.152661924,2.174817093,-0.648206641,-0.229747045
-98.6202,29.5151,-253992.7301,-887690.2131,9.900000095,10.02823711,-0.689872455,1.630925536,4.891838023,0.530607166,-2.719521528,-3.281782344,2.042337677,-0.72335394,0.677809907,0.105077517,1.935627198,-0.203266871,-0.502792384
-90.7797,29.6793,504847.1662,-859117.7172,6.890322554,7.071641583,-0.091582643,-0.210727388,-0.27890134,-0.465903359,0.681179961,-0.070451673,0.307882774,0.588987477,0.358617422,0.040754985,1.074052379,-0.704824696,-0.050349229
-82.3878,29.7061,1312153.866,-775880.2069,7.071428571,7.260996563,-1.186631421,1.172250608,0.055643157,2.072948058,0.047895884,0.165148804,0.411451075,0.925052355,0.048444885,-0.268128074,1.951842244,-1.765571822,-0.087167481
-95.2576,29.7337,71784.62077,-866673.9551,10.9321839,11.02294594,0.544285852,2.331350073,1.453325943,1.052485442,-1.085470864,-1.252576564,1.801513226,-0.174020052,0.41312343,-0.131717974,1.58710173,-0.374201654,-0.289092757
-95.3877,29.8145,59147.35876,-857801.8974,11.02903231,11.22716393,0.533721087,2.395205322,1.498175899,1.019103547,-1.129630482,-1.335402245,2.033480503,-0.129130117,0.423695597,-0.124055208,1.504912946,-0.328365481,-0.304450836
-90.1098,29.9003,568035.5537,-830864.9666,7.236666679,7.564195396,-0.240413715,-0.350131788,-0.136582836,-0.541475224,0.640724165,-0.231601026,0.675568165,0.602781315,0.382692144,0.082483969,1.064873291,-0.732650981,-0.057149271
