Y,MLR_YHat,ANN_YHat,GWR_YHat,GWANN_YHat,GNNWR_YHat,AGWNN_YHat
6.886206939,7.104666326,6.403418955,6.892132096,6.656710096,6.837623363,6.880381516
6.333333333,9.268079804,6.731469017,6.172151512,5.947217452,5.801881612,6.167607738
5.900000002,7.29847125,5.88938473,5.968821126,5.975814915,6.249406198,6.335447509
7.857692242,7.458739174,6.276475037,7.871600154,7.580168768,7.804349542,7.757662175
6.153333386,7.328405001,7.168000579,6.357116875,6.25079553,6.234029438,6.301495817
7.322222197,6.148851441,6.174029397,6.323694471,6.227884014,6.212474737,6.964906512
4.528571435,7.512757226,6.596686236,5.497658177,5.383434831,4.631426277,5.256427623
6.41428566,7.092562009,6.784523154,6.567427277,6.420669583,6.52740764,6.409628595
6.156666621,4.933217347,6.478408388,5.834398856,5.815470689,8.059982735,6.397992258
9.910588312,8.155942932,7.610028785,8.717802121,8.857739666,8.864632828,8.914457303
10.64999989,10.81068252,9.926030107,10.62302309,10.9074849,10.44219547,10.43565907
6.51250007,6.592326428,6.927930257,6.026262663,6.094584967,7.313799133,6.108801249
5.449999928,7.693698596,7.798175638,6.121949037,6.183284457,7.094556777,5.972579221
6.737931042,8.029979334,7.847341314,6.425861774,6.493945691,7.081012028,6.288861864
4.899999992,7.475319016,7.395099456,6.212340459,6.222257232,7.077144382,5.817588038
4.860000086,5.095586549,6.624379892,5.710998715,5.674487347,5.489462989,5.513745502
6.556666676,6.867828135,7.077019219,6.047894857,6.150856504,7.044516837,6.08378449
7.27999994,5.580916553,6.019116306,6.126933897,6.070843978,7.421087821,6.616468925
5.070000005,4.961999449,5.676351747,6.466276003,6.45834306,6.521548402,6.045025504
5.819230767,4.961660727,6.045512935,5.827310273,5.765053688,5.279187657,5.583075237
5.753333322,6.138802921,6.522715598,5.922126915,5.812791104,6.12031042,6.057585434
6.611627904,9.379731604,9.295246674,6.707562358,6.787699071,7.119532894,6.795395026
5.600000051,5.423714751,6.106847942,5.40476722,5.479960944,6.439351282,5.67174828
6.640740692,9.379731604,9.295246674,6.715245238,6.83416347,7.108496128,6.823651796
5.57586203,5.440273659,6.317291146,6.231673351,6.235745182,7.377332891,6.246249246
6.283333341,6.344913658,6.813857852,6.203566559,6.227098444,6.770544449,6.475013179
6.180000011,5.708665336,6.13748851,5.805178715,5.69757575,5.62574038,5.656456921
6.482758606,6.788487075,6.783302365,6.173627063,6.076958697,5.334930091,5.499158842
5.210000018,5.880258108,6.241184687,5.618132983,5.677056359,6.284030768,5.597730505
6.81249997,5.507069655,5.726722738,6.019087322,5.992035739,6.252862802,6.532529421
12.87142835,8.407224063,7.713148727,10.02436637,9.732082237,10.93712173,12.41030028
5.534482746,5.012030424,5.593545799,5.388929221,5.34760509,5.122486035,5.106553146
6.347619078,5.968079602,6.227357075,5.840259904,5.77929767,5.320627346,5.67065691
7.503999996,9.404257301,8.996958327,7.270214972,6.411479291,6.860497888,7.317482404
6.607142925,9.404257301,8.996958327,7.274991484,6.447517321,6.865382404,7.329205995
7.000000004,7.521217771,7.116870827,6.881570255,6.83887516,6.904045637,6.971675141
5.833333316,5.874648343,5.703560247,6.178560478,6.240399675,5.584905209,6.425096113
5.407142831,6.751733644,6.625417621,6.11054877,6.148135705,5.557661175,6.166962501
6.029629628,6.08089462,5.752863309,6.222534914,6.272416883,5.747826005,6.361858937
8.349999956,5.97759397,5.393017945,7.570672081,7.600149902,6.929761167,7.718535198
6.621428532,6.751733644,6.625417621,6.111701196,6.129990711,5.506762255,6.164562319
5.383333389,6.702936147,6.626785944,6.471986518,6.511978808,6.775721672,6.645107233
6.042857174,5.093906927,4.846199671,6.13400725,6.16869907,5.83324949,6.333856904
4.756666671,5.754322422,5.719338354,5.788748806,5.780042434,5.009333525,5.393270051
9.970000052,10.24997267,10.40444179,11.51270432,11.65509154,10.20285621,9.654825846
5.073333359,4.793689822,4.805224482,5.809143389,6.016903282,4.861319019,5.110326402
