SID,LLX,LLY,RS_PM25,GS_PM25,AOD,NDVI,TMP,SPFH,WIND,HGT,U,V
120866001,-80.4828,25.4719,14.781405,7.456666644,0.2744143,0.5485833,28.22218,0.018283958,2.2456033,2,1570162.87238458,-1208508.39342854
120860033,-80.3264,25.9419,15.705268,7.436666687,0.274875,0.29446667,27.955029,0.018270906,1.40881,3,1577381.76746218,-1155058.30133549
120110034,-80.2569,26.0539,16.1672,7.023333311,0.26137838,0.4731,27.916046,0.018265897,1.4728826,3,1582284.5894323,-1141774.39616424
482151046,-98.1521,26.2886,19.94339,12.29500015,0.2537157,0.39843333,30.364697,0.017537827,3.664,29.75,-216690.281502313,-1244900.30662057
120112003,-80.0964,26.2911,16.1672,8.542857034,0.267,0.37631667,28.375715,0.01871665,2.8646286,1.75,1593925.78629494,-1113397.11475518
120992005,-80.0928,26.4569,16.1672,6.873333311,0.21165168,0.41856667,28.059937,0.019061556,2.6763506,2.5,1591247.05867364,-1095367.7486143
120573002,-82.2304,27.9657,15.775978,7.970000021,0.27706668,0.5629333,27.315569,0.018155375,2.029086,19.75,1355029.09954868,-964273.181091206
121171002,-81.3106,28.7461,15.410069,6.724999905,0.30060294,0.53588337,27.252409,0.017805861,1.3353691,21.5,1431565.13525057,-865494.904341357
480290032,-98.6202,29.5151,16.364496,9.87500006,0.22630952,0.50355,29.142775,0.015970279,2.288726,281.75,-253992.730104759,-887690.21308649
221090001,-90.7797,29.6793,19.371395,8.564516167,0.2625,0.7328167,27.438372,0.01834424,2.1667018,1,504847.166190232,-859117.717238122
120010023,-82.3878,29.7061,16.883522,9.037499905,0.27286747,0.7427667,26.56403,0.017655674,1.2709658,43.5,1312153.86567916,-775880.206882229
482011035,-95.2576,29.7337,21.111948,11.66593403,0.2760972,0.44073334,29.107458,0.017780868,1.8675679,7.75,71784.6207669702,-866673.955119888
482011052,-95.3877,29.8145,21.111948,10.19310343,0.28458825,0.34938332,28.703096,0.018027088,1.4833525,14.75,59147.358758926,-857801.897439955
220512001,-90.1098,29.9003,19.4389,9.048275816,0.25375676,0.5977,27.711555,0.018644525,1.678142,2.5,568035.553718558,-830864.966553494
220870007,-89.9762,29.9432,19.4389,9.431250036,0.23366667,0.46611667,27.931791,0.018605696,2.0718398,0.25,580601.015346452,-825307.083535848
220710021,-90.1182,29.996,19.4389,9.296774187,0.2446125,0.43395,27.938656,0.018674072,1.7050475,0,566569.719175462,-820316.736829374
220511001,-90.2728,30.0412,18.465857,8.93750003,0.22447778,0.40538335,28.39516,0.018087054,2.2107348,0.75,551393.896051602,-816219.319866888
120310098,-81.634,30.1358,16.826887,7.258620649,0.25254053,0.4792,27.4005,0.018043812,2.6512136,4,1377097.43094146,-718053.966518403
220470005,-91.0626,30.2191,18.331238,9.939393896,0.27620238,0.6685333,27.508673,0.017974112,1.7109635,3.75,474403.235076984,-800765.292705413
220550007,-92.0429,30.2261,20.06694,9.183870977,0.2765352,0.5916167,27.551926,0.018317474,2.0439878,9.5,380241.309828715,-804396.964079699
220190009,-93.58,30.2278,20.094458,8.299999985,0.25849426,0.7338,27.381786,0.018135384,1.9659511,5.5,232577.250063911,-809164.395916499
120310099,-81.5478,30.3547,16.826887,7.693103363,0.24787879,0.5448,27.556288,0.017471077,2.7861345,13.5,1381614.85892894,-692776.815325366
120730012,-84.3464,30.4397,17.514074,7.723333367,0.2679452,0.6109833,27.17066,0.017939432,1.1781522,21.25,1114421.89378944,-720179.025201617
220330009,-91.1792,30.462,18.610855,12.05000001,0.29726967,0.55009997,27.274824,0.018206356,1.6760473,2.5,461841.815530184,-774400.002030731
