UTM-X,UTM-Y,X1,X2,X3,X4,Y,LL-X,LL-Y
587091.6875,4517490,1,1,1,4.91,75.34782609,-73.96751,40.8038
588405.25,4507019.5,3,1,0,4.56,89,-73.95342,40.70935
589708,4504289.5,5,1,1,4.75,135,-73.93839,40.68462
588164.0625,4518543,2,1,1,4.89,54.93478261,-73.95465,40.81317
587667.875,4498980.5,1,1,1,0,150,-73.96327,40.63702
589005.5625,4511270,4,1,1,4.91,145.3913043,-73.94571,40.74757
588381.375,4503701,2,1,1,4.5,119.076087,-73.95417,40.67946
584829.9375,4510928,4,2,2,5,400,-73.99521,40.74493
587347.5,4503570,4,2,4,4.93,143.3695652,-73.96642,40.67839
589282.5625,4520706,2,1,1,4.89,75.02173913,-73.94108,40.83253
588756.6875,4513720.5,2,1,2,4.41,200,-73.94831,40.76967
588764.4375,4520177,1,1,1,5,99,-73.9473,40.82782
584184.8125,4509220,4,2,3,4.46,604.5652174,-74.00308,40.72961
586187.25,4502752.5,5,3,4,4.83,220,-73.98026,40.67115
585007.5,4512162.5,1,0,1,4.51,82.97826087,-73.99294,40.75603
588581.9375,4520063.5,6,1,1,4.78,180,-73.94948,40.82682
587553.625,4504659,2,1,1,4.5,125.6521739,-73.96383,40.68818
577654.125,4499903,2,1,1,4.8,70,-74.08156,40.64633
586934.875,4505172.5,2,1,1,4.69,110,-73.97108,40.69287
590926.25,4517819.5,1,1,1,0,60,-73.92201,40.80635
586656.375,4503765,2,1,1,4.69,121.2065217,-73.97457,40.68022
588347.6875,4514251,1,1,1,0,130,-73.95308,40.77449
592271.125,4514764,4,1,2,4.97,147.173913,-73.90652,40.77868
594731.6875,4507799.5,4,1,1,4.34,107.4130435,-73.87842,40.71567
586701.8125,4503639,2,2,1,4.72,81.23913043,-73.97405,40.67908
604379.8125,4503018,2,1,1,4.35,65,-73.76501,40.67144
589019.9375,4518424.5,2,1,1,4.66,74.94565217,-73.94452,40.81201
592986.125,4506338.5,9,1,3,5,195.2065217,-73.8993,40.70271
588932.3125,4518207,2,2,1,4.73,111.7391304,-73.94559,40.81006
585918.625,4508502.5,3,1,0,4.3,175,-73.98265,40.72297
588369.9375,4509275,4,2,2,4.79,289.3478261,-73.95352,40.72967
585839.1875,4508723.5,2,1,1,4.58,75,-73.98356,40.72497
585075.1875,4503753.5,4,1,2,4.87,190,-73.99328,40.68028
585616.4375,4508776.5,2,1,0,4.92,375.1956522,-73.98619,40.72547
585937.375,4503230.5,4,1,1,4.81,162.0652174,-73.98315,40.67548
587944.25,4517447,2,1,1,4.79,122,-73.95741,40.80332
584278.9375,4509261,2,1,1,4.83,200,-74.00196,40.72997
586332.9375,4514553.5,2,1,1,4.51,110,-73.97691,40.77743
588664.1875,4508609,3,1,1,4.67,75,-73.95013,40.72364
588347.375,4510174,4,1,1,4.67,370.0869565,-73.95366,40.73777
589176.0625,4504251,5,1,2,4.91,150,-73.94469,40.68433
588250.8125,4517848,2,1,1,5,90,-73.95372,40.8069
586087.8125,4503234.5,4,2,2,4.96,165,-73.98137,40.6755
588770.5,4517773.5,3,1,0,4.7,102.2282609,-73.94757,40.80617
585251.875,4502497.5,4,0,2,5,260,-73.99136,40.66895
586379.25,4508549,2,0,2,4.66,185,-73.97719,40.72334
588283.6875,4517845,5,1,2,4.9,544.2608696,-73.95333,40.80687
588482.5,4515333,4,1,2,0,250,-73.95133,40.78422
585787.75,4508204.5,5,2,2,4.97,250,-73.98424,40.7203
588568.875,4517634.5,8,1,2,4.83,350,-73.94998,40.80494
591323.0625,4504363.5,2,1,1,4.54,165,-73.91927,40.68511
587074.75,4495532,4,1,1,0,183.5869565,-73.97076,40.60602
589097.625,4520798,2,2,1,4.6,75,-73.94326,40.83338
591744.8125,4514602,2,1,1,4.87,50.54347826,-73.91278,40.77728
589323.5625,4508215,3,1,1,4.73,120,-73.94238,40.72002
586818.9375,4504608.5,2,1,0,4.75,157,-73.97253,40.6878
588282.8125,4508150.5,2,1,1,4.82,185,-73.95471,40.71955
572426.9375,4495530.5,3,1,1,5,76.09782609,-74.14388,40.60742
590951.875,4504306,4,1,1,4.9,145,-73.92367,40.68463
585779.875,4501938.5,5,2,3,4.92,300,-73.98519,40.66386
591383.6875,4514388,1,1,1,4.86,75,-73.91709,40.77539
588349.9375,4504783,4,1,1,4.62,136.9021739,-73.95439,40.68921
586572.1875,4515524.5,1,2,2,4.94,155.1956522,-73.97394,40.78615
588361.1875,4510151,4,1,1,4.77,313.0217391,-73.9535,40.73756
588361.1875,4510151,4,1,1,4.76,313.0217391,-73.9535,40.73756
588361.1875,4510151,6,1,2,5,722.9130435,-73.9535,40.73756
584064.25,4509424,2,1,1,4.56,145,-74.00448,40.73146
584063.3125,4509507,4,2,2,4.75,375,-74.00448,40.73221
585480.5625,4508035.5,2,1,1,4.91,120,-73.9879,40.71881
585783.3125,4512893,2,1,0,4.88,200,-73.98365,40.76253
